indiv	mean_gill_score	amoebic_load
Fish_00854	3.5	27.16
Fish_00855	4	26.59
Fish_00856	2.25	35.42
Fish_00857	4	28.45
Fish_00858	3	29.04
Fish_00859	2.75	30.49
Fish_00861	2.75	32.26
Fish_00862	3.75	26.48
Fish_00863	3.75	28.76
Fish_00864	1.5	39.6
Fish_00865	2	35.31
Fish_00866	3.75	26.2
Fish_00867	1.25	37.5
Fish_00868	2.75	30.84
Fish_00869	2.5	36.1
Fish_00870	2.75	31.24
Fish_00871	3.75	29.25
Fish_00872	1.25	38.05
Fish_00873	3.5	28.98
Fish_00874	1.5	34.01
Fish_00875	3.5	31.48
Fish_00876	3.5	29.18
Fish_00877	1.5	36.2
Fish_00878	3	30.4
Fish_00879	2	31.39
Fish_00880	3	32.62
Fish_00881	3	34.01
Fish_00882	2.25	33.32
Fish_00883	3	33.03
Fish_00884	2.5	28.28
Fish_00885	3	29.56
Fish_00886	2.75	28.08
Fish_00887	2.5	30.4
Fish_00888	3.25	28.2
Fish_00889	2	38.21
Fish_00890	2.5	34.32
Fish_00891	2.5	33.42
Fish_00892	3	29.31
Fish_00893	2.75	33.88
Fish_00894	2.5	33.47
Fish_00895	4	28.31
Fish_00896	1.5	39.17
Fish_00897	3.75	30.06
Fish_00898	2.5	28.36
Fish_00899	4.25	27.8
Fish_00900	2	32.69
Fish_00901	2.25	33.82
Fish_00902	3	28.26
Fish_00903	4.25	25.59
Fish_00904	1.5	35.14
Fish_00905	4.25	28.01
Fish_00906	4.25	26.63
Fish_00907	2.5	32.37
Fish_00908	3.5	30.7
Fish_00909	1.75	31.71
Fish_00910	3.25	30.18
Fish_00911	1.5	36.74
Fish_00912	3	31.48
Fish_00913	2.25	31.23
Fish_00914	4	27.69
Fish_00915	1.75	31.48
Fish_00916	3.5	28.96
Fish_00917	2.5	30.89
Fish_00918	4	25.21
Fish_00919	2.75	31.42
Fish_00920	4.25	25
Fish_00921	1	41.5
Fish_00922	2.5	32.29
Fish_00923	2.75	29.98
Fish_00924	2.75	33.69
Fish_00925	3.5	28.55
Fish_00926	2.5	31.72
Fish_00927	3.5	29.37
Fish_00928	3	31.93
Fish_00929	3.25	32.44
Fish_00930	2.5	32.28
Fish_00931	4.25	26.94
Fish_00932	4	26.86
Fish_00933	2.25	31.83
Fish_00934	2.25	33.8
Fish_00935	3	29.3
Fish_00936	3.5	30.58
Fish_00937	3.25	28.91
Fish_00938	3	32.16
Fish_00939	1.5	31.61
Fish_00940	3	32.61
Fish_00941	1.5	34.75
Fish_00942	3	30.24
Fish_00943	3	31.07
Fish_00944	1.75	35.11
Fish_00945	3	32.15
Fish_00946	1.25	39.21
Fish_00947	1.75	32.42
Fish_00948	2.25	33.78
Fish_00949	2.25	35.66
Fish_00950	3.25	30.81
Fish_00951	1.75	32.55
Fish_00952	1.25	32.73
Fish_00953	3.5	29.47
Fish_00954	2.5	32.11
Fish_00955	4	27.6
Fish_00956	4.25	25.64
Fish_00957	2.5	33.28
Fish_00958	3.5	29.31
Fish_00959	1.5	32.92
Fish_00960	4	25.9
Fish_00961	2	30.46
Fish_00962	2.5	29.89
Fish_00963	3.75	28.93
Fish_00964	3.25	30.78
Fish_00965	2.75	32.2
Fish_00966	2.25	34.96
Fish_00967	2.5	30.63
Fish_00968	4.25	28.27
Fish_00969	3	30.78
Fish_00970	1.75	33.17
Fish_00971	3	30.05
Fish_00972	3.5	30.04
Fish_00973	4.25	29.07
Fish_00974	4	27.14
Fish_00975	3.5	26.67
Fish_00976	1.5	36.76
Fish_00977	3.25	31.26
Fish_00978	3.25	30.39
Fish_00979	2.5	34.82
Fish_00980	3	29.1
Fish_00981	2.75	28.79
Fish_00982	2.5	29.54
Fish_00983	3	32.03
Fish_00984	1.5	36.89
Fish_00985	2	33.09
Fish_00986	3.5	28.68
Fish_00987	3.5	28.76
Fish_00988	2.75	32.07
Fish_00989	3.75	25.96
Fish_00990	3	32.18
Fish_00991	2.5	29.55
Fish_00992	2.5	30.96
Fish_00993	1.5	36.03
Fish_00994	2.5	33.1
Fish_00995	3	29.4
Fish_00996	4.25	27.66
Fish_00997	3.75	29.51
Fish_00998	3.75	27.91
Fish_00999	1.5	36.73
Fish_01000	2.75	30.28
Fish_01001	3.25	30.81
Fish_01002	1.5	38.95
Fish_01003	2.25	34.46
Fish_01004	2.75	30.96
Fish_01005	4.25	27.46
Fish_01006	2.75	31.8
Fish_01007	2.75	31.92
Fish_01008	3.25	31.65
Fish_01009	3	30.28
Fish_01010	2.5	30.67
Fish_01011	3.5	30.78
Fish_01012	3.75	27.74
Fish_01013	2.75	32.45
Fish_01014	1.75	38.77
Fish_01015	4	26.94
Fish_01016	4	28.86
Fish_01017	1.5	32.81
Fish_01018	1.5	39.52
Fish_01019	2	30.3
Fish_01020	2	37.71
Fish_01021	3.5	29.09
Fish_01022	2.75	32.8
Fish_01023	4	27.59
Fish_01024	2.5	30.75
Fish_01025	2.75	31.29
Fish_01026	4	27.24
Fish_01027	3.5	27.26
Fish_01028	2.5	31.59
Fish_01029	3.5	30.56
Fish_01030	3	29.31
Fish_01031	2.5	35.7
Fish_01032	3.5	30.11
Fish_01033	3	27.79
Fish_01034	3.5	32.54
Fish_01035	3.25	30.26
Fish_01036	3	27.73
Fish_01037	2.5	36.41
Fish_01038	2.75	30
Fish_01039	3.75	29.1
Fish_01040	2.75	31.47
Fish_01041	3	33.26
Fish_01042	3.5	27.83
Fish_01043	3.75	29.68
Fish_01044	4	27.54
Fish_01045	2.75	30.01
Fish_01046	2.75	31.79
Fish_01047	4.5	25.87
Fish_01048	3.5	28.98
Fish_01049	2.5	30.98
Fish_01050	4	24.96
Fish_01051	3	31.82
Fish_01052	3.75	27.6
Fish_01053	3.75	30.68
Fish_01054	3.75	25.92
Fish_01055	3.5	31.59
Fish_01056	4.5	25.77
Fish_01057	2.5	34.01
Fish_01058	2.5	30.02
Fish_01059	2	30.69
Fish_01060	1.5	39.07
Fish_01061	3	29.69
Fish_01062	2.25	33.71
Fish_01063	3.5	26.6
Fish_01064	2	32.27
Fish_01065	2.25	33.14
Fish_01066	3	31.75
Fish_01067	2.25	32.17
Fish_01068	2	32.72
Fish_01069	3.75	29.33
Fish_01070	4	27.94
Fish_01071	2.25	31.16
Fish_01072	3	31.38
Fish_01073	1	37.38
Fish_01074	2.75	33.73
Fish_01075	3.5	25.78
Fish_01076	1.5	37.34
Fish_01077	3	31.04
Fish_01078	1.5	38.59
Fish_01079	2	34.37
Fish_01080	3	33.14
